t,x,y,yaw,state,front,back,left,right
267.07,2.9446019887445165,-11.998657426068629,0.8390568298301445,EXPLORE,2.2238762378692627,1.8879085779190063,2.163897752761841,1.166764259338379
267.11,2.9446038180886585,-11.998660931669557,0.8592965371715541,EXPLORE,2.224524974822998,1.8705828189849854,2.1684365272521973,1.1633765697479248
267.14,2.94460353278611,-11.998664086769107,0.8744763165865966,EXPLORE,2.224524974822998,1.8705828189849854,2.1684365272521973,1.1633765697479248
267.17,2.9446066035852536,-11.998666050089565,0.8896561066259112,EXPLORE,2.2248079776763916,1.8557016849517822,2.178715705871582,1.1591527462005615
267.21,2.944608485318353,-11.998669367610185,0.9098958255179446,EXPLORE,2.2248079776763916,1.8557016849517822,2.178715705871582,1.1591527462005615
267.24,2.944608367764708,-11.998672395812626,0.9250756140397515,EXPLORE,2.224605083465576,1.843187928199768,2.182126522064209,1.1552238464355469
267.27,2.944611340125234,-11.99867419986832,0.940255505262024,EXPLORE,2.224605083465576,1.843187928199768,2.182126522064209,1.1552238464355469
267.31,2.9446132620067993,-11.99867732456859,0.9604954386962476,EXPLORE,2.223784923553467,1.8329805135726929,2.1854441165924072,1.1516108512878418
267.34,2.944613295681783,-11.998680219101452,0.9756753851527913,EXPLORE,2.223784923553467,1.8329805135726929,2.1854441165924072,1.1516108512878418
267.37,2.944616168167124,-11.998681865542762,0.9908553351309132,EXPLORE,2.2270145416259766,1.825031042098999,2.1965715885162354,1.1480376720428467
267.41,2.944618118508238,-11.998684795229977,1.0110951808280129,EXPLORE,2.2270145416259766,1.825031042098999,2.1965715885162354,1.1480376720428467
267.44,2.9446182876024602,-11.998687551327809,1.0262750257619881,EXPLORE,2.2274346351623535,1.8193062543869019,2.1952226161956787,1.1451159715652466
267.47,2.9446210589373734,-11.998689043305573,1.041454859451754,EXPLORE,2.2274346351623535,1.8193062543869019,2.1952226161956787,1.1451159715652466
267.51,2.9446230266610387,-11.998691777934148,1.061694601078907,EXPLORE,2.2285900115966797,1.8157752752304077,2.208810329437256,1.141963005065918
267.54,2.9446233161128923,-11.998694392576867,1.0768743844607829,EXPLORE,2.2285900115966797,1.8157752752304077,2.208810329437256,1.141963005065918
267.57,2.944625985275924,-11.998695734476954,1.0920541655721858,EXPLORE,2.2271616458892822,1.1389150619506836,2.2174346446990967,1.1395177841186523
267.61,2.9446279600414798,-11.99869827584641,1.112293851747474,EXPLORE,2.2271616458892822,1.1389150619506836,2.2174346446990967,1.1395177841186523
267.64,2.944628355631331,-11.998700747562452,1.1274736048612175,EXPLORE,2.221436023712158,1.1360185146331787,2.2689530849456787,1.1395496129989624
267.67,2.9446309218549427,-11.998701944730964,1.1426533643956631,EXPLORE,2.221436023712158,1.1360185146331787,2.2689530849456787,1.1395496129989624
267.71,2.9446328940141737,-11.998704296135234,1.1628930350391222,EXPLORE,2.2145795822143555,1.1335036754608154,2.350248336791992,1.1410290002822876
267.74,2.944633382301032,-11.998706624746951,1.1780727822320571,EXPLORE,2.2145795822143555,1.1335036754608154,2.350248336791992,1.1410290002822876
267.77,2.9446358451291728,-11.998707683291297,1.1932525370561662,EXPLORE,2.2109670639038086,1.131149411201477,2.4398765563964844,1.14397394657135
267.81,2.9446378058096254,-11.998709849286824,1.213492203772443,EXPLORE,2.2109670639038086,1.131149411201477,2.4398765563964844,1.14397394657135
267.84,2.9446383741989077,-11.99871203575535,1.2286719494577993,EXPLORE,2.2155003547668457,1.129304051399231,2.5390028953552246,1.1484109163284302
267.87,2.944640733072742,-11.998712962205854,1.2434641006123934,EXPLORE,2.2155003547668457,1.129304051399231,2.5390028953552246,1.1484109163284302
267.91,2.9446426700031854,-11.998714946996467,1.2623490411555758,EXPLORE,2.206875801086426,1.1271653175354004,2.6448657512664795,1.1541345119476318
267.94,2.9446432990771605,-11.99871699085945,1.275900346373046,EXPLORE,2.206875801086426,1.1271653175354004,2.6448657512664795,1.1541345119476318
267.97,2.9446455420400155,-11.998717788751135,1.288669828612879,EXPLORE,2.2229182720184326,1.1258211135864258,2.637341022491455,1.1606881618499756
268.01,2.9446474264135443,-11.998719593178729,1.3049477531155946,EXPLORE,2.2871100902557373,1.1243817806243896,2.563525438308716,1.1676545143127441
268.04,2.9446474264135443,-11.998719593178729,1.3049477531155946,EXPLORE,2.3547518253326416,1.1233066320419312,2.497708797454834,1.175392508506775
268.07,2.9446474264135443,-11.998719593178729,1.3049477531155946,EXPLORE,2.3547518253326416,1.1233066320419312,2.497708797454834,1.175392508506775
268.11,2.9446480869825957,-11.99872149316321,1.316451316646842,EXPLORE,2.426673650741577,1.1224262714385986,2.4382669925689697,1.183924674987793
268.14,2.9446480869825957,-11.99872149316321,1.316451316646842,EXPLORE,2.426673650741577,1.1224262714385986,2.4382669925689697,1.183924674987793
268.17,2.9446480869825957,-11.99872149316321,1.316451316646842,EXPLORE,2.426673650741577,1.1224262714385986,2.4382669925689697,1.183924674987793
268.21,2.9446501982984477,-11.998722167090376,1.3281311021319628,EXPLORE,2.500628709793091,1.1215887069702148,2.3860905170440674,1.1929062604904175
